Date,Close,High,Low,Open,Volume
,KLBF.JK,KLBF.JK,KLBF.JK,KLBF.JK,KLBF.JK
2019-01-01,1353.745849609375,1353.745849609375,1353.745849609375,1353.745849609375,0
2019-01-02,1358.1988525390625,1362.651963530994,1335.933297579406,1358.1988525390625,5035800
2019-01-03,1371.5582275390625,1376.0113386674361,1340.3864496404474,1367.1051164106889,15603900
2019-01-04,1398.2769775390625,1402.730088932499,1353.7458636046974,1367.105197785007,19765600
2019-01-07,1420.54248046875,1433.9018141408699,1407.1831467966301,1407.1831467966301,28281300
2019-01-08,1393.8236083984375,1420.5422718182158,1371.5580555486222,1420.5422718182158,16847400
2019-01-09,1371.5582275390625,1416.0893388227983,1371.5582275390625,1411.6362276944249,9920400
2019-01-10,1424.9954833984375,1424.9954833984375,1376.0112636566162,1380.4643745422363,32039200
2019-01-11,1442.8079833984375,1451.714205518181,1389.3706506799767,1433.901761278694,25318000
2019-01-14,1438.35498046875,1447.2612032580303,1420.5425348901897,1429.4487576794697,25662800
2019-01-15,1456.1673583984375,1456.1673583984375,1433.9018024596235,1438.3549136473864,14905500
2019-01-16,1447.26123046875,1451.7143419471154,1424.9956730769231,1447.26123046875,20240700
2019-01-17,1433.9017333984375,1451.7141772915857,1420.5424004785762,1451.7141772915857,18529300
2019-01-18,1438.35498046875,1447.2612032580303,1416.0894234955495,1447.2612032580303,18565100
2019-01-21,1429.44873046875,1442.8080643983644,1429.44873046875,1442.8080643983644,8777600
2019-01-22,1438.35498046875,1438.35498046875,1420.5425348901897,1438.35498046875,16694600
2019-01-23,1424.9954833984375,1433.9017051696778,1420.5423725128173,1420.5423725128173,13179200
2019-01-24,1424.9954833984375,1438.354816055298,1424.9954833984375,1438.354816055298,16844100
2019-01-25,1438.35498046875,1442.80809186339,1420.5425348901897,1433.90186907411,22451600
2019-01-28,1433.9017333984375,1447.2610663182986,1420.5424004785762,1438.3548443717245,34907300
2019-01-29,1433.9017333984375,1433.9017333984375,1420.5424004785762,1433.9017333984375,13322900
2019-01-30,1433.9017333984375,1433.9017333984375,1420.5424004785762,1420.5424004785762,23609500
2019-01-31,1424.9954833984375,1438.354816055298,1424.9954833984375,1438.354816055298,36542300
2019-02-01,1438.35498046875,1438.35498046875,1420.5425348901897,1424.9956462848297,25854900
2019-02-04,1429.44873046875,1438.354953088493,1424.9956191588785,1429.44873046875,25455800
2019-02-05,1429.44873046875,1429.44873046875,1429.44873046875,1429.44873046875,0
2019-02-06,1420.54248046875,1433.9018141408699,1416.08936924471,1424.99559169279,33819200
2019-02-07,1433.9017333984375,1433.9017333984375,1424.9955114518632,1424.9955114518632,24717700
