Date,"('Open', 'KLBF.JK')","('High', 'KLBF.JK')","('Low', 'KLBF.JK')","('Close', 'KLBF.JK')","('Volume', 'KLBF.JK')",Next_Day_Close
2019-01-01,1353.745849609375,1353.745849609375,1353.745849609375,1353.745849609375,0,1358.1990966796875
2019-01-02,1358.1990966796875,1362.6522084720798,1335.9335377177254,1358.1990966796875,5035800,1371.558349609375
2019-01-03,1367.1052380846693,1376.0114611340807,1340.3865689364345,1371.558349609375,15603900,1398.27685546875
2019-01-04,1367.1050784360073,1402.7299664734276,1353.7457454219746,1398.27685546875,19765600,1420.54248046875
2019-01-07,1407.1831467966301,1433.9018141408699,1407.1831467966301,1420.54248046875,28281300,1393.82373046875
2019-01-08,1420.5423962285342,1420.5423962285342,1371.5581756689296,1393.82373046875,16847400,1371.558349609375
2019-01-09,1411.636353331727,1416.0894648564326,1371.558349609375,1371.558349609375,9920400,1424.9954833984375
2019-01-10,1380.4643745422363,1424.9954833984375,1376.0112636566162,1424.9954833984375,32039200,1442.8079833984375
2019-01-11,1433.901761278694,1451.714205518181,1389.3706506799767,1442.8079833984375,25318000,1438.3548583984375
2019-01-14,1429.4486363650105,1447.2610804318642,1420.5424143315838,1438.3548583984375,25662800,1456.1673583984375
2019-01-15,1438.3549136473864,1456.1673583984375,1433.9018024596235,1456.1673583984375,14905500,1447.26123046875
2019-01-16,1447.26123046875,1451.7143419471154,1424.9956730769231,1447.26123046875,20240700,1433.9017333984375
2019-01-17,1451.7141772915857,1451.7141772915857,1420.5424004785762,1433.9017333984375,18529300,1438.3548583984375
2019-01-18,1447.2610804318642,1447.2610804318642,1416.0893033148702,1438.3548583984375,18565100,1429.44873046875
2019-01-21,1442.8080643983644,1442.8080643983644,1429.44873046875,1429.44873046875,8777600,1438.3548583984375
2019-01-22,1438.3548583984375,1438.3548583984375,1420.5424143315838,1438.3548583984375,16694600,1424.9954833984375
2019-01-23,1420.5423725128173,1433.9017051696778,1420.5423725128173,1424.9954833984375,13179200,1424.9954833984375
2019-01-24,1438.354816055298,1438.354816055298,1424.9954833984375,1424.9954833984375,16844100,1438.3548583984375
2019-01-25,1433.901747381724,1442.8079694151509,1420.5424143315838,1438.3548583984375,22451600,1433.9017333984375
2019-01-28,1438.3548443717245,1447.2610663182986,1420.5424004785762,1433.9017333984375,34907300,1433.9017333984375
2019-01-29,1433.9017333984375,1433.9017333984375,1420.5424004785762,1433.9017333984375,13322900,1433.9017333984375
2019-01-30,1420.5424004785762,1433.9017333984375,1420.5424004785762,1433.9017333984375,23609500,1424.9954833984375
2019-01-31,1438.354816055298,1438.354816055298,1424.9954833984375,1424.9954833984375,36542300,1438.3548583984375
2019-02-01,1424.9955253482972,1438.3548583984375,1420.5424143315838,1438.3548583984375,25854900,1429.44873046875
2019-02-04,1429.44873046875,1438.354953088493,1424.9956191588785,1429.44873046875,25455800,1429.44873046875
2019-02-05,1429.44873046875,1429.44873046875,1429.44873046875,1429.44873046875,0,1420.54248046875
2019-02-06,1424.99559169279,1433.9018141408699,1416.08936924471,1420.54248046875,33819200,1433.9017333984375
2019-02-07,1424.9955114518632,1433.9017333984375,1424.9955114518632,1433.9017333984375,24717700,1420.54248046875
2019-02-08,1424.99559169279,1424.99559169279,1416.08936924471,1420.54248046875,12267000,1420.54248046875
2019-02-11,1420.54248046875,1429.44870291683,1416.08936924471,1420.54248046875,9189800,1398.27685546875
2019-02-12,1416.0892994874603,1424.9955214968154,1398.27685546875,1398.27685546875,21731100,1398.27685546875
2019-02-13,1398.27685546875,1416.0892994874603,1389.3706334593949,1398.27685546875,11236800,1411.6361083984375
2019-02-14,1380.4643331341188,1416.0892191504831,1380.4643331341188,1411.6361083984375,19127000,1402.7301025390625
2019-02-15,1389.3707682291667,1416.0894368489585,1380.4645453559028,1402.7301025390625,29752800,1402.7301025390625
2019-02-18,1407.1832139756946,1416.0894368489585,1384.9176567925347,1402.7301025390625,31288900,1380.4644775390625
2019-02-19,1398.276922410534,1398.276922410534,1380.4644775390625,1380.4644775390625,17400900,1376.011474609375
2019-02-20,1389.3708093143205,1398.2770324509506,1362.6521399044295,1376.011474609375,25303700,1362.652099609375
2019-02-21,1362.652099609375,1371.558322482639,1349.2927652994792,1362.652099609375,29788200,1344.839599609375
2019-02-22,1349.2927108663596,1358.198933380329,1335.9333770954056,1344.839599609375,34067200,1340.386474609375
2019-02-25,1344.8395858207018,1349.2926970320286,1335.9333633980482,1340.386474609375,33020800,1340.386474609375
2019-02-26,1340.386474609375,1344.8395858207018,1335.9333633980482,1340.386474609375,33464200,1353.745849609375
2019-02-27,1344.8396269145765,1367.1051836515728,1344.8396269145765,1353.745849609375,13616000,1331.480224609375
2019-02-28,1358.1988913239443,1367.1051135621342,1318.1208912520904,1331.480224609375,46482400,1371.558349609375
2019-03-01,1344.8396804611405,1371.558349609375,1335.9334574117288,1371.558349609375,13025800,1349.292724609375
2019-03-04,1371.5582811210809,1376.011392423422,1349.292724609375,1349.292724609375,17738800,1340.386474609375
2019-03-05,1358.1989194546823,1358.1989194546823,1331.4802521867214,1340.386474609375,10501300,1344.839599609375
2019-03-06,1358.198933380329,1358.198933380329,1327.0271545814362,1344.839599609375,10222000,1344.839599609375
2019-03-07,1344.839599609375,1344.839599609375,1344.839599609375,1344.839599609375,0,1358.1990966796875
2019-03-08,1327.0273141329405,1358.1990966796875,1327.0273141329405,1358.1990966796875,13406000,1353.745849609375
2019-03-11,1353.745849609375,1362.6520723041735,1349.2927382619757,1353.745849609375,5657800,1335.933349609375
2019-03-12,1335.933349609375,1358.198905436198,1331.4802384440104,1335.933349609375,8441800,1340.386474609375
2019-03-13,1353.7458082433554,1362.652030666009,1331.4802521867214,1340.386474609375,3102900,1335.933349609375
2019-03-14,1335.933349609375,1344.8395719401042,1331.4802384440104,1335.933349609375,10924400,1376.011474609375
2019-03-15,1358.1990283361145,1380.46458617769,1344.8396936311692,1376.011474609375,16407600,1376.011474609375
2019-03-18,1384.9176977460054,1398.2770324509506,1362.6521399044295,1376.011474609375,4608300,1384.917724609375
2019-03-19,1389.3708362640675,1389.3708362640675,1371.5583896452974,1384.917724609375,3338000,1353.745849609375
2019-03-20,1376.0114063463714,1380.4645176937706,1344.8396269145765,1353.745849609375,8387600,1340.386474609375
2019-03-21,1358.1989194546823,1371.5582530886627,1340.386474609375,1340.386474609375,8730400,1344.839599609375
2019-03-22,1340.3864883523902,1353.7458221233444,1340.3864883523902,1344.839599609375,5230200,1340.386474609375
2019-03-25,1335.9333633980482,1362.652030666009,1335.9333633980482,1340.386474609375,11404500,1349.292724609375
2019-03-26,1362.6520585163985,1362.6520585163985,1335.9333907023515,1349.292724609375,6829100,1349.292724609375
2019-03-27,1353.745835911716,1353.745835911716,1344.839613307034,1349.292724609375,4645500,1353.745849609375
2019-03-28,1349.2927382619757,1358.1989609567743,1344.8396269145765,1353.745849609375,3251300,1353.745849609375
2019-03-29,1367.1051836515728,1367.1051836515728,1344.8396269145765,1353.745849609375,7590100,1327.027099609375
2019-04-01,1353.7457660444632,1362.6519881894924,1322.5739885368603,1327.027099609375,7441700,1344.839599609375
